Graph 1 X	Graph 1 Y	Graph 2 X	Graph 2 Y	
257.5610	-6.2312	257.5610	-6.2312	
257.9269	-6.2321	257.9269	-6.2321	
258.2927	-6.2346	258.2927	-6.2346	
258.6586	-6.2370	258.6586	-6.2370	
259.0244	-6.2395	259.0244	-6.2395	
259.3903	-6.2617	259.3903	-6.2617	
259.7561	-6.2839	259.7561	-6.2839	
260.1220	-6.3037	260.1220	-6.3037	
260.4878	-6.3235	260.4878	-6.3235	
260.8537	-6.3335	260.8537	-6.3335	
261.2195	-6.3341	261.2195	-6.3341	
261.5854	-6.3288	261.5854	-6.3288	
261.9512	-6.3214	261.9512	-6.3214	
262.3171	-6.3154	262.3171	-6.3154	
262.6830	-6.3146	262.6830	-6.3146	
263.0488	-6.3227	263.0488	-6.3227	
263.4147	-6.3432	263.4147	-6.3432	
263.7805	-6.3630	263.7805	-6.3630	
264.1464	-6.3852	264.1464	-6.3852	
264.5122	-6.5975	264.5122	-6.5975	
264.8781	-6.8074	264.8781	-6.8074	
265.2439	-6.9975	265.2439	-6.9975	
265.6098	-7.1876	265.6098	-7.1876	
265.9756	-7.3088	265.9756	-7.3088	
266.3415	-7.3630	266.3415	-7.3630	
266.7073	-7.3771	266.7073	-7.3771	
267.0732	-7.3778	267.0732	-7.3778	
267.4391	-7.3918	267.4391	-7.3918	
267.8049	-7.4462	267.8049	-7.4462	
268.1708	-7.5679	268.1708	-7.5679	
268.5366	-7.7580	268.5366	-7.7580	
268.9025	-7.9481	268.9025	-7.9481	
269.2683	-8.1358	269.2683	-8.1358	
269.6342	-8.2222	269.6342	-8.2222	
270.0000	-8.2333	270.0000	-8.2333	
270.3659	-8.2476	270.3659	-8.2476	
270.7317	-8.2667	270.7317	-8.2667	
271.0976	-8.2838	271.0976	-8.2838	
271.4634	-8.2961	271.4634	-8.2961	
271.8293	-8.3003	271.8293	-8.3003	
272.1952	-8.2933	272.1952	-8.2933	
